frame,timestamp,target_cx,target_cy,target_class,confidence,error_x,error_y,distance,output_x,output_y,aim_x,aim_y,steps,settled,dt
103,1785364538.702,978.6,554.9,0,0.901,18.6,2.8,18.7,6.52,0.59,978.6,542.8,"[[5, 0], [1, 0]]",0,0.0083
104,1785364538.713,978.6,554.9,0,0.901,18.6,2.8,18.7,6.52,0.59,978.6,542.8,"[[5, 0], [1, 0]]",0,0.0110
105,1785364538.722,957.0,541.5,1,0.863,-3.0,-1.5,3.1,-2.12,-0.44,957.0,538.5,"[[-2, 0]]",0,0.0088
106,1785364538.730,957.0,541.5,1,0.863,-3.0,-1.5,3.1,-1.04,-0.31,957.0,538.5,"[[-1, 0]]",0,0.0077
107,1785364538.737,957.0,541.5,1,0.863,-3.0,-1.5,3.1,-1.04,-0.31,957.0,538.5,"[[-1, 0]]",0,0.0075
108,1785364538.748,957.0,541.5,1,0.863,-3.0,-1.5,3.1,-1.04,-0.31,957.0,538.5,"[[-1, 0]]",0,0.0105
109,1785364538.756,922.6,541.8,1,0.883,-37.4,-1.3,37.4,-14.82,-0.26,922.6,538.7,"[[-8, 0], [-6, 0], [-2, 0]]",0,0.0081
110,1785364538.768,922.6,541.8,1,0.883,-37.4,-1.3,37.4,-13.10,-0.26,922.6,538.7,"[[-7, 0], [-5, 0], [-1, 0]]",0,0.0118
111,1785364538.778,922.6,541.8,1,0.883,-37.4,-1.3,37.4,-13.10,-0.26,922.6,538.7,"[[-7, 0], [-5, 0], [-1, 0]]",0,0.0102
112,1785364538.789,904.4,555.1,0,0.890,-55.6,3.0,55.6,-20.38,0.75,904.4,543.0,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0116
113,1785364538.808,904.4,555.1,0,0.890,-55.6,3.0,55.6,-19.47,0.63,904.4,543.0,"[[-9, 0], [-6, 0], [-4, 0]]",0,0.0182
114,1785364538.819,893.2,554.6,0,0.897,-66.8,2.5,66.8,-23.95,0.51,893.2,542.5,"[[-10, 0], [-7, 0], [-5, 0], [-1, 0]]",0,0.0114
115,1785364538.832,893.2,554.6,0,0.897,-66.8,2.5,66.8,-23.39,0.52,893.2,542.5,"[[-10, 0], [-7, 0], [-5, 0], [-1, 0]]",0,0.0129
116,1785364538.848,893.2,554.6,0,0.897,-66.8,2.5,66.8,-23.39,0.52,893.2,542.5,"[[-10, 0], [-7, 0], [-5, 0], [-1, 0]]",0,0.0162
117,1785364538.863,892.0,554.7,0,0.895,-68.0,2.6,68.0,-23.84,0.54,892.0,542.6,"[[-10, 0], [-7, 0], [-5, 0], [-1, 0]]",0,0.0153
118,1785364538.877,892.0,554.7,0,0.895,-68.0,2.6,68.0,-23.78,0.54,892.0,542.6,"[[-10, 0], [-7, 0], [-5, 0], [-1, 0]]",0,0.0136
119,1785364538.891,906.4,554.8,0,0.898,-53.6,2.7,53.6,-18.05,0.58,906.4,542.7,"[[-8, 0], [-6, 0], [-3, 0]]",0,0.0140
120,1785364538.902,906.4,554.8,0,0.898,-53.6,2.7,53.6,-18.77,0.57,906.4,542.7,"[[-9, 0], [-6, 0], [-4, 0]]",0,0.0111
121,1785364538.917,906.4,554.8,0,0.898,-53.6,2.7,53.6,-18.77,0.57,906.4,542.7,"[[-9, 0], [-6, 0], [-4, 0]]",0,0.0145
122,1785364538.930,930.8,554.7,0,0.899,-29.2,2.7,29.2,-8.99,0.56,930.8,542.7,"[[-6, 0], [-3, 0]]",0,0.0134
123,1785364538.942,930.8,554.7,0,0.899,-29.2,2.7,29.2,-10.21,0.57,930.8,542.7,"[[-6, 0], [-4, 0]]",0,0.0115
124,1785364538.952,951.9,554.7,0,0.892,-8.1,2.7,8.2,-1.76,0.58,951.9,542.7,"[[-2, 1]]",0,0.0105
125,1785364538.959,951.9,554.7,0,0.892,-8.1,2.7,8.2,-2.82,0.57,951.9,542.7,"[[-3, 1]]",0,0.0074
126,1785364538.968,951.9,554.7,0,0.892,-8.1,2.7,8.2,-2.82,0.57,951.9,542.7,"[[-3, 1]]",0,0.0085
127,1785364538.979,951.9,554.7,0,0.892,-8.1,2.7,8.2,-2.82,0.57,951.9,542.7,"[[-3, 1]]",0,0.0108
128,1785364538.987,978.7,554.6,0,0.904,18.7,2.6,18.7,7.87,0.53,978.7,542.6,"[[6, 0], [2, 0]]",0,0.0083
129,1785364538.997,978.7,554.6,0,0.904,18.7,2.6,18.7,6.54,0.54,978.7,542.6,"[[5, 0], [1, 0]]",0,0.0100
130,1785364539.011,978.7,554.6,0,0.904,18.7,2.6,18.7,6.54,0.54,978.7,542.6,"[[5, 0], [1, 0]]",0,0.0137
131,1785364539.025,978.7,554.6,0,0.904,18.7,2.6,18.7,6.54,0.54,978.7,542.6,"[[5, 0], [1, 0]]",0,0.0138
132,1785364539.036,1001.2,554.6,0,0.910,41.2,2.6,41.3,15.56,0.54,1001.2,542.6,"[[8, 0], [6, 0], [2, 0]]",0,0.0110
133,1785364539.049,1001.2,554.6,0,0.910,41.2,2.6,41.3,14.43,0.54,1001.2,542.6,"[[7, 0], [6, 0], [1, 0]]",0,0.0132
134,1785364539.062,1014.3,554.7,0,0.904,54.3,2.6,54.3,19.65,0.54,1014.3,542.6,"[[9, 0], [7, 0], [4, 0]]",0,0.0129
135,1785364539.075,1014.3,554.7,0,0.904,54.3,2.6,54.3,18.99,0.54,1014.3,542.6,"[[9, 0], [6, 0], [4, 0]]",0,0.0129
136,1785364539.087,1024.1,552.8,0,0.895,64.1,0.6,64.1,22.93,0.06,1024.1,540.6,"[[10, 0], [7, 0], [5, 0], [1, 0]]",0,0.0126
137,1785364539.102,1024.1,552.8,0,0.895,64.1,0.6,64.1,22.44,0.12,1024.1,540.6,"[[10, 0], [7, 0], [5, 0], [1, 0]]",0,0.0147
138,1785364539.116,1024.1,552.8,0,0.895,64.1,0.6,64.1,22.44,0.12,1024.1,540.6,"[[10, 0], [7, 0], [5, 0], [1, 0]]",0,0.0142
139,1785364539.131,1014.9,552.9,0,0.905,54.9,0.6,54.9,18.74,0.13,1014.9,540.6,"[[9, 0], [6, 0], [4, 0]]",0,0.0150
140,1785364539.144,1014.9,552.9,0,0.905,54.9,0.6,54.9,19.20,0.13,1014.9,540.6,"[[9, 0], [6, 0], [4, 0]]",0,0.0125
141,1785364539.155,1004.5,552.8,0,0.906,44.5,0.6,44.5,15.07,0.13,1004.5,540.6,"[[8, 0], [6, 0], [2, 0]]",0,0.0108
142,1785364539.166,1004.5,552.8,0,0.906,44.5,0.6,44.5,15.58,0.13,1004.5,540.6,"[[8, 0], [6, 0], [2, 0]]",0,0.0110
143,1785364539.181,1004.5,552.8,0,0.906,44.5,0.6,44.5,15.58,0.13,1004.5,540.6,"[[8, 0], [6, 0], [2, 0]]",0,0.0152
144,1785364539.193,981.4,552.7,0,0.908,21.4,0.6,21.4,6.34,0.12,981.4,540.6,"[[5, 0], [1, 0]]",0,0.0125
145,1785364539.204,981.4,552.7,0,0.908,21.4,0.6,21.4,7.50,0.12,981.4,540.6,"[[6, 0], [2, 0]]",0,0.0106
146,1785364539.216,981.4,552.7,0,0.908,21.4,0.6,21.4,7.50,0.12,981.4,540.6,"[[6, 0], [2, 0]]",0,0.0119
147,1785364539.225,957.8,539.4,1,0.867,-2.2,-3.6,3.1,-1.96,-0.88,957.8,536.4,"[[-2, -1]]",0,0.0096
148,1785364539.233,957.8,539.4,1,0.867,-2.2,-3.6,3.1,-0.78,-0.76,957.8,536.4,"[[-1, -1]]",0,0.0076
149,1785364539.242,957.8,539.4,1,0.867,-2.2,-3.6,3.1,-0.78,-0.76,957.8,536.4,"[[-1, -1]]",0,0.0093
150,1785364539.253,957.8,539.4,1,0.867,-2.2,-3.6,3.1,-0.78,-0.76,957.8,536.4,"[[-1, -1]]",0,0.0103
151,1785364539.262,934.1,539.5,1,0.870,-25.9,-3.7,26.0,-10.24,-0.78,934.1,536.3,"[[-6, 0], [-4, 0]]",0,0.0097
152,1785364539.275,934.1,539.5,1,0.870,-25.9,-3.7,26.0,-9.06,-0.78,934.1,536.3,"[[-6, -1], [-3, 0]]",0,0.0126
153,1785364539.286,934.1,539.5,1,0.870,-25.9,-3.7,26.0,-9.06,-0.78,934.1,536.3,"[[-6, -1], [-3, 0]]",0,0.0106
154,1785364539.295,914.5,539.3,1,0.878,-45.5,-3.8,45.6,-16.92,-0.81,914.5,536.2,"[[-8, 0], [-6, 0], [-3, 0]]",0,0.0096
155,1785364539.307,914.5,539.3,1,0.878,-45.5,-3.8,45.6,-15.94,-0.81,914.5,536.2,"[[-8, 0], [-6, 0], [-2, 0]]",0,0.0124
156,1785364539.319,900.8,539.5,1,0.865,-59.2,-3.6,59.3,-21.42,-0.74,900.8,536.4,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0113
157,1785364539.329,900.8,539.5,1,0.865,-59.2,-3.6,59.3,-20.73,-0.75,900.8,536.4,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0106
158,1785364539.342,900.8,539.5,1,0.865,-59.2,-3.6,59.3,-20.73,-0.75,900.8,536.4,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0122
159,1785364539.354,898.7,540.9,1,0.876,-61.3,-2.2,61.3,-21.57,-0.41,898.7,537.8,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0122
160,1785364539.369,898.7,540.9,1,0.876,-61.3,-2.2,61.3,-21.47,-0.46,898.7,537.8,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0157
161,1785364539.382,898.7,540.9,1,0.876,-61.3,-2.2,61.3,-21.47,-0.46,898.7,537.8,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0129
162,1785364539.394,903.5,554.8,0,0.900,-56.5,2.7,56.6,-19.54,0.72,903.5,542.7,"[[-9, 0], [-7, 0], [-4, 0]]",0,0.0112
163,1785364539.407,903.5,554.8,0,0.900,-56.5,2.7,56.6,-19.78,0.57,903.5,542.7,"[[-9, 0], [-7, 0], [-4, 0]]",0,0.0133
164,1785364539.419,927.6,555.5,0,0.899,-32.4,3.6,32.5,-10.13,0.78,927.6,543.6,"[[-6, 0], [-4, 0]]",0,0.0126
165,1785364539.429,927.6,555.5,0,0.899,-32.4,3.6,32.5,-11.34,0.75,927.6,543.6,"[[-7, 0], [-5, 0]]",0,0.0093
166,1785364539.440,927.6,555.5,0,0.899,-32.4,3.6,32.5,-11.34,0.75,927.6,543.6,"[[-7, 0], [-5, 0]]",0,0.0112
167,1785364539.453,947.6,555.5,0,0.897,-12.4,3.5,12.5,-3.33,0.73,947.6,543.5,"[[-3, 1]]",0,0.0126
168,1785364539.460,947.3,542.4,1,0.868,-12.7,-0.7,12.7,-4.47,-0.27,947.3,539.3,"[[-4, 0]]",0,0.0073
